               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.047749,            0.014338,           0.0028957,             0.63561,             0.79747,             0.57514,             0.26092,            0.039511,           0.0085151,           0.0015519,             0.00307,             0.00307,             0.00307
                  37,            0.047573,            0.017355,           0.0032846,             0.66453,             0.79249,             0.59849,             0.33659,            0.032417,           0.0086964,           0.0014976,            0.002872,            0.002872,            0.002872
                  38,             0.05342,            0.014699,           0.0032984,             0.66689,                 0.8,             0.60437,              0.2545,            0.036683,           0.0082004,           0.0014431,            0.002674,            0.002674,            0.002674
                  39,            0.050402,             0.01613,           0.0035017,             0.61219,                 0.8,             0.58226,             0.40362,            0.030545,           0.0083945,            0.001375,            0.002476,            0.002476,            0.002476
                  40,            0.044814,            0.017506,           0.0029439,             0.61219,                 0.8,             0.58226,             0.40362,            0.030545,           0.0083945,            0.001375,            0.002278,            0.002278,            0.002278
                  41,            0.039755,            0.016122,           0.0024739,             0.62871,                 0.8,             0.58554,             0.40838,            0.031745,           0.0081623,            0.001331,             0.00208,             0.00208,             0.00208
                  42,            0.042468,            0.016079,           0.0024215,             0.63287,                 0.8,             0.58527,             0.37442,            0.027856,           0.0081345,           0.0012731,            0.001882,            0.001882,            0.001882
                  43,            0.045853,            0.012393,           0.0029771,             0.62905,                 0.8,             0.57256,             0.39846,            0.030642,           0.0079099,           0.0011919,            0.001684,            0.001684,            0.001684
                  44,            0.041413,            0.013994,           0.0028259,             0.62905,                 0.8,             0.57256,             0.39846,            0.030642,           0.0079099,           0.0011919,            0.001486,            0.001486,            0.001486
                  45,            0.039404,             0.01745,           0.0023595,             0.62434,             0.80736,             0.56828,             0.42051,            0.025736,           0.0079039,           0.0011399,            0.001288,            0.001288,            0.001288
                  46,            0.036885,             0.01335,            0.003121,             0.62478,              0.8089,             0.55402,             0.36166,            0.027929,           0.0077194,           0.0010941,             0.00109,             0.00109,             0.00109
                  47,            0.040815,            0.013195,           0.0027589,             0.62609,                 0.8,             0.55758,              0.3644,            0.027849,           0.0076305,             0.00106,            0.000892,            0.000892,            0.000892
                  48,            0.044205,            0.017237,           0.0026501,             0.62609,                 0.8,             0.55758,              0.3644,            0.027849,           0.0076305,             0.00106,            0.000694,            0.000694,            0.000694
                  49,            0.033318,            0.013317,           0.0017889,             0.62799,                 0.8,             0.56014,             0.36229,            0.027208,           0.0076023,            0.001055,            0.000496,            0.000496,            0.000496
